 ,X,Y,Median,Slice
1,42.56,46.72,1335,1
2,42.08,44.96,1034,1
3,43.36,49.44,939,1
4,43.68,50.4,912,1
5,42.88,48.16,850,1
6,26.72,30.4,618,1
7,71.04,36.64,297,1
1,22.88,44.32,427,1
2,55.68,48.32,353,1
3,32.16,18.88,340,1
1,44.64,48.96,1365,1
2,44.64,51.52,1131,1
3,42.4,49.12,983,1
4,41.12,49.92,919,1
5,43.2,48.64,914,1
6,43.2,50.4,812,1
7,42.4,50.24,802,1
8,45.92,59.52,397,1
9,28.32,0,298,1
1,61.44,56,824,1
2,62.56,55.2,584,1
3,23.04,60.96,573,1
4,5.44,10.88,554,1
5,6.4,10.72,499,1
1,30.72,41.76,477,1
2,48.16,69.92,435,1
3,30.24,4.8,410,1
4,40.48,32.96,392,1
5,43.84,32.64,347,1
1,23.2,49.76,1275,1
2,46.56,63.2,832,1
3,53.44,21.92,755,1
4,23.84,51.36,698,1
1,53.28,32.8,925,1
2,53.28,34.88,768,1
3,50.88,34.72,712,1
4,50.72,38.24,510,1
1,58.4,9.76,1439,1
2,18.88,50.56,689,1
3,62.88,55.52,289,1
1,59.04,24.8,809,1
2,57.44,27.04,629,1
3,58.08,24.96,606,1
4,57.28,24.64,606,1
5,15.04,48.8,411,1
1,50.24,31.2,1207,1
2,49.92,32.16,986,1
3,48.96,31.68,590,1
1,22.24,26.08,865,1
2,22.56,23.84,774,1
3,22.56,26.88,698,1
4,22.08,24.8,678,1
5,40,19.04,572,1
6,44.8,58.4,543,1
1,49.12,18.24,598,1
2,60.48,50.88,592,1
3,28.32,38.4,500,1
1,42.08,49.92,993,1
2,44.48,52.8,732,1
3,40.8,51.04,690,1
4,39.68,51.04,533,1
5,18.72,53.6,522,1
6,64.64,20.96,393,1
1,34.56,49.12,1108,1
2,37.44,50.88,753,1
3,20,15.04,316,1
1,185.6,492.8,375,1
2,406.4,172.8,362,1
3,737.6,256,358,1
4,116.8,600,303,1
1,17.6,34.56,517,1
2,64.64,43.2,357,1
3,65.6,9.92,303,1
1,37.76,30.4,1170,1
2,39.36,31.2,1133,1
3,35.36,30.08,1122,1
4,36.32,31.2,1053,1
5,40.8,30.56,1027,1
6,35.68,29.12,955,1
7,34.56,32.48,903,1
8,41.6,27.68,891,1
9,34.24,28.32,847,1
10,41.28,26.24,803,1
11,40.32,28,765,1
12,41.92,24.8,750,1
